Name,Line,Sentiment,Irony
Griphook,She gives us away and we might as well use that sword to slit our own throats. Understand?,0.6,[ 1.7103217 -0.9606468]
Hermione Granger,He's right. I was being stupid.,-0.2571428571428571,[ 0.99155253 -0.32887983]
Harry Potter,C'mon. Let's do it.,0.0,[ 1.1322434  -0.33097336]
Goblin,Identification.,0.0,[0.3060674  0.39799017]
Bellatrix Lestrange,I wish to enter my vault.,0.0,[ 1.5602143 -0.794402 ]
Goblin,"I see. Very well. Excuse me, won't you?",0.075,[ 0.8124167 -0.0801103]
Bellatrix Lestrange,I don't like to be kept waiting.,0.0,[ 1.0065944 -0.2960668]
Goblin,Next.,0.0,[0.29851058 0.21107092]
Bellatrix Lestrange,He's with me.,0.0,[ 0.8521137  -0.09283818]
Griphook,They know!,0.0,[0.23547408 0.6546073 ]
Ron Weasley,What do you mean?,-0.3125,[ 2.054106  -1.1554011]
Griphook,They know she's an imposter! They've been warned!,0.0,[-0.00125967  0.4370646 ]
Bogrod,Madam Lestrange. Would you mind presenting your wand?,0.0,[ 1.9549236 -1.4055147]
Bellatrix Lestrange,And why should I do that?,0.0,[ 1.922865  -1.1746656]
Ron Weasley,"Harry, what do we do? Harry...?",0.0,[ 2.0786972 -1.2592727]
Bogrod,"It's the bank's policy. I'm sure you understand, given the current climate --",0.25,[-0.16955903  0.597935  ]
Bellatrix Lestrange,"No, I most certainly do not understand --",-0.1785714285714285,[ 1.4502249  -0.73215586]
Bogrod,I'm afraid I must insist.,-0.6,[ 1.6070582 -0.8505239]
Harry Potter,Imperio.,0.0,[0.57511514 0.06929599]
Bogrod,"Very well, Madam Lestrange. If you will follow me.",0.2,[ 1.777437  -1.0971222]
Goblin,"But... Bogrod, there have been special instructions regarding the Lestrange vault.",0.3571428571428571,[ 1.1769388 -0.6536026]
Bogrod,I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.,0.3333333333333333,[0.03531951 0.34470123]
Goblin,"Yes, sir, but our instructions are very specific --",0.0,[ 1.4628875 -0.7315504]
Bogrod,"Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!",0.1916666666666666,[ 1.9883971 -1.092754 ]
Bogrod,"Madam, if you will, I will escort you myself.",0.0,[ 1.3935313 -0.7269818]
Harry Potter,How long before they come after us?,-0.05,[ 1.823641  -1.1157002]
Ron Weasley,What's that? Up ahead.,0.0,[ 1.6712292 -0.980362 ]
Griphook,I should have known --,0.0,[ 0.9045404  -0.22229949]
Harry Potter,"What is that, Griphook?",0.0,[ 2.1826181 -1.1530559]
Harry Potter,Griphook! What is that!,0.0,[ 2.015664  -1.0545927]
Harry Potter,Well done. Hey.,0.0,[-1.0245153  1.340823 ]
Griphook,The Thief's Downfall. Washes away all enchantments. Can be deadly.,-0.2,[ 1.6263678 -0.8663531]
Ron Weasley,You don't say.  Just out of interest... is there any other way out of here?,-0.125,[ 0.9940211 -0.5065482]
Griphook,No.,0.0,[ 1.1156424 -0.377345 ]
Bogrod,What the devil are you all doing down here!,-0.1944444444444444,[ 1.7650998  -0.95843226]
Griphook,We need him!,0.0,[ 1.5721079 -0.7542596]
Bogrod,"Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --",0.0,[ 2.0413167 -1.2537103]
Ron Weasley,Imperio!,0.0,[ 1.1007977 -0.2174711]
Griphook,Well done.,0.0,[-0.8108491  1.3071276]
Ron Weasley,No. It's not possible...,0.0,[ 1.8591299 -1.1268266]
Ron Weasley,Bloody hell. That's a Welsh Green.,-0.5,[ 1.3519872  -0.54158425]
Hermione Granger,It looks like it's been down here forever.,-0.1555555555555555,[ 0.9038929  -0.17730922]
Griphook,Go on.,0.0,[ 0.82060474 -0.06210131]
Ron Weasley,It's been trained to expect pain when it hears the noise.,0.0,[0.19667225 0.4502144 ]
